abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fighting,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,weight_kg,generation,is_fire_type,is_water_type,is_grass_type,is_electric_type,is_ground_type,is_bug_type,is_normal_type,is_ice_type,is_flying_type,is_poison_type,is_fighting_type,is_rock_type,is_steel_type,is_fairy_type,is_dark_type,is_ghost_type,is_dragon_type,is_psychic_type,pure_type,base_egg_steps
"['Clear Body', 'Light Metal']",1.0,2.0,0.5,1.0,0.5,1.0,2.0,0.5,2.0,0.5,2.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0,55,<70,300,3.0,Iron Ball Pokémon,80,>=1.25M,0.6,40,Dumbberダンバル,Beldum,agender,374,35,60,30,95.2,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,>=7680
"['Battle Armor', 'Swift Swim']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0,95,>=70,355,45.0,Old Shrimp Pokémon,50,<1M,0.7,45,Anopthアノプス,Anorith,>50,347,40,50,75,12.5,3,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,>=7680
"['Hyper Cutter', 'Intimidate', 'Sheer Force']",0.25,0.5,0.0,1.0,0.5,1.0,2.0,0.5,1.0,0.5,2.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0,105,>=70,480,45.0,Deceiver Pokémon,125,<1M,0.6,50,Kucheatクチート,Mawile,50,303,55,95,50,11.5,3,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,5120
"['Illuminate', 'Natural Cure', 'Analytic']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,45,>=70,340,225.0,Starshape Pokémon,55,>=1.25M,0.8,30,Hitodemanヒトデマン,Staryu,agender,120,70,55,85,34.5,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5120
"['Leaf Guard', 'Contrary']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,55,>=70,250,190.0,Sickle Grass Pokémon,35,1M-1.25M,0.3,40,Karikiriカリキリ,Fomantis,50,753,50,35,35,1.5,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5120
"['Swarm', 'Guts', 'Moxie']",0.5,0.5,1.0,1.0,2.0,0.5,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,185,>=70,600,45.0,Singlehorn Pokémon,115,>=1.25M,1.5,80,Heracrosヘラクロス,Heracross,50,214,40,105,75,54.0,2,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,6400
"['Battle Armor', 'Sniper', 'Keen Eye']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,50,>=70,330,120.0,Scorpion Pokémon,90,>=1.25M,0.8,40,Scorupiスコルピ,Skorupi,50,451,30,55,65,12.0,4,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,5120
"['Static', 'Vital Spirit']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,63,>=70,360,45.0,Electric Pokémon,37,1M-1.25M,0.6,45,Elekidエレキッド,Elekid,>50,239,65,55,95,23.5,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6400
"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,50,>=70,250,225.0,Pig Pokémon,40,>=1.25M,0.4,50,Urimooウリムー,Swinub,50,220,30,30,50,6.5,2,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5120
"['Cute Charm', 'Technician', 'Skill Link']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50,>=70,300,255.0,Chinchilla Pokémon,40,<1M,0.4,55,Chillarmyチラーミィ,Minccino,<50,572,40,40,75,5.8,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,<=3840
['Shell Armor'],0.5,1.0,2.0,0.5,1.0,1.0,0.25,1.0,1.0,0.25,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,78,>=70,485,70.0,Blast Turtle Pokémon,135,1M-1.25M,2.0,60,Bakugamesバクガメス,Turtonator,50,776,91,85,36,212.0,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,5120
['Levitate'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,50,>=70,455,45.0,Wind Chime Pokémon,80,<1M,0.6,75,Chireanチリーン,Chimecho,50,358,95,90,65,1.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,6400
['Levitate'],0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,35,>=70,310,190.0,Gas Pokémon,30,1M-1.25M,1.3,30,Ghosゴース,Gastly,50,92,100,35,80,0.1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,5120
"['Swarm', 'Technician', 'Steadfast']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,110,>=70,500,45.0,Mantis Pokémon,80,1M-1.25M,1.5,70,Strikeストライク,Scyther,50,123,55,80,105,56.0,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,6400
"['Swift Swim', 'Hydration', 'Water Absorb']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,50,>=70,294,255.0,Tadpole Pokémon,40,1M-1.25M,0.5,50,Otamaroオタマロ,Tympole,50,535,50,40,64,4.5,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5120
['Fur Coat'],1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,>=70,472,160.0,Poodle Pokémon,60,1M-1.25M,1.2,75,Trimmienトリミアン,Furfrou,50,676,65,90,102,28.0,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,5120
"['Natural Cure', 'Serene Grace', 'Healer']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,>=70,450,30.0,Egg Pokémon,5,<1M,1.1,250,Luckyラッキー,Chansey,<50,113,35,105,50,34.6,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,>=7680
"['Intimidate', 'Run Away', 'Rattled']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,80,>=70,300,190.0,Fairy Pokémon,50,<1M,0.6,60,Buluブルー,Snubbull,<50,209,40,40,30,7.8,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,5120
"['Natural Cure', 'Serene Grace', 'Friend Guard']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,>=70,220,130.0,Playhouse Pokémon,5,<1M,0.6,100,Pinpukuピンプク,Happiny,<50,440,15,65,30,24.4,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,>=7680
"['Hyper Cutter', 'Sand Veil', 'Immunity']",0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,2.0,75,>=70,430,60.0,Flyscorpion Pokémon,105,1M-1.25M,1.1,65,Gligerグライガー,Gligar,50,207,35,65,85,64.8,2,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5120
"['Overcoat', 'Magic Guard', 'Regenerator']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,30,>=70,290,200.0,Cell Pokémon,40,1M-1.25M,0.3,45,Uniranユニラン,Solosis,50,577,105,50,20,1.0,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,5120
"['Pickup', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,60,>=70,330,120.0,Long Nose Pokémon,60,1M-1.25M,0.5,90,Gomazouゴマゾウ,Phanpy,50,231,40,40,40,33.5,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5120
"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70,>=70,285,190.0,Mushroom Pokémon,55,1M-1.25M,0.3,35,Parasパラス,Paras,50,46,45,55,25,5.4,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5120
"['Ice Body', 'Snow Cloak', 'Weak Armor']",1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,50,>=70,305,255.0,Fresh Snow Pokémon,50,>=1.25M,0.4,36,Vanipetiバニプッチ,Vanillite,50,582,65,60,44,5.7,5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,5120
"['Swift Swim', 'Water Veil', 'Lightningrod']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,67,>=70,320,225.0,Goldfish Pokémon,60,1M-1.25M,0.6,45,Tosakintoトサキント,Goldeen,50,118,35,50,63,15.0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5120
"['Water Absorb', 'Cursed Body', 'Damp']",0.5,2.0,1.0,2.0,1.0,0.0,0.5,1.0,2.0,2.0,1.0,0.5,0.0,0.5,1.0,1.0,0.5,0.5,40,>=70,335,190.0,Floating Pokémon,50,1M-1.25M,1.2,55,Pururillプルリル,Frillish,50,592,65,85,40,33.0,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5120
"['Run Away', 'Flash Fire', 'Flame Body']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,85,>=70,410,190.0,Fire Horse Pokémon,55,1M-1.25M,1.0,50,Ponytaポニータ,Ponyta,50,77,65,65,90,30.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5120
"['Sticky Hold', 'Storm Drain', 'Sand Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,48,>=70,325,190.0,Sea Slug Pokémon,48,1M-1.25M,0.3,76,Karanakushiカラナクシ,Shellos,50,422,57,62,34,6.3,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5120
"['Swift Swim', 'Battle Armor', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,80,>=70,355,45.0,Shellfish Pokémon,90,1M-1.25M,0.5,30,Kabutoカブト,Kabuto,>50,140,55,45,55,11.5,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,>=7680
"['Keen Eye', 'Big Pecks', 'Hydration']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,44,>=70,305,190.0,Water Bird Pokémon,50,1M-1.25M,0.5,62,Koaruhieコアルヒー,Ducklett,50,580,44,50,55,5.5,5,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5120
"['Oblivious', 'Forewarn', 'Hydration']",2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0,30,>=70,305,45.0,Kiss Pokémon,15,1M-1.25M,0.4,45,Muchulムチュール,Smoochum,<50,238,85,65,65,6.0,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,6400
"['Torrent', 'Shell Armor']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,55,>=70,308,45.0,Sea Otter Pokémon,45,1M-1.25M,0.5,55,Mijumaruミジュマル,Oshawott,>50,501,63,45,45,5.9,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5120
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,>=70,253,255.0,Mouse Pokémon,35,1M-1.25M,0.3,30,Korattaコラッタ,Rattata,50,19,25,35,72,3.5,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,<=3840
"['Unaware', 'Klutz', 'Simple']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,45,>=70,323,190.0,Bat Pokémon,43,1M-1.25M,0.4,65,Koromoriコロモリ,Woobat,50,527,55,43,72,2.1,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,<=3840
"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47,>=70,275,235.0,Poison Pin Pokémon,52,1M-1.25M,0.4,55,Nidoran?ニドラン♀,Nidoran♀,<50,29,40,40,41,7.0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,5120
"['Torrent', 'Damp']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,70,>=70,310,45.0,Mud Fish Pokémon,50,1M-1.25M,0.4,50,Mizugorouミズゴロウ,Mudkip,>50,258,50,50,40,7.6,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5120
"['Immunity', 'Thick Fat', 'Gluttony']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110,>=70,540,25.0,Sleeping Pokémon,65,>=1.25M,2.1,160,Kabigonカビゴン,Snorlax,>50,143,65,110,30,460.0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,>=7680
"['Color Change', 'Protean']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90,>=70,440,200.0,Color Swap Pokémon,70,1M-1.25M,1.0,60,Kakureonカクレオン,Kecleon,50,352,60,120,40,22.0,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,5120
"['Snow Warning', 'Soundproof']",2.0,1.0,1.0,0.5,1.0,2.0,4.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,2.0,2.0,0.5,62,>=70,334,120.0,Frosted Tree Pokémon,50,>=1.25M,1.0,60,Yukikaburiユキカブリ,Snover,50,459,62,60,40,50.5,4,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5120
"['Synchronize', 'Trace', 'Telepathy']",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,25,<70,198,235.0,Feeling Pokémon,25,>=1.25M,0.4,28,Raltsラルトス,Ralts,50,280,45,35,40,6.6,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,5120
"['Guts', 'Scrappy']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,55,>=70,270,200.0,TinySwallow Pokémon,30,1M-1.25M,0.3,40,Subameスバメ,Taillow,50,276,30,30,85,2.3,3,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,<=3840
['Levitate'],1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,>=70,275,190.0,EleFish Pokémon,40,>=1.25M,0.2,35,Shibishirasuシビシラス,Tynamo,50,602,45,40,60,0.3,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5120
"['Intimidate', 'Moxie', 'Anger Point']",2.0,0.5,1.0,0.0,2.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,0.0,0.5,1.0,2.0,72,>=70,292,180.0,Desert Croc Pokémon,35,1M-1.25M,0.7,50,Megurocoメグロコ,Sandile,50,551,35,35,65,15.2,5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,5120
"['Plus', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,50,>=70,405,200.0,Cheering Pokémon,40,1M-1.25M,0.4,60,Prasleプラスル,Plusle,50,311,85,75,95,4.2,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5120
"['Sturdy', 'Magnet Pull', 'Sand Force']",1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,45,>=70,375,255.0,Compass Pokémon,135,1M-1.25M,1.0,30,Nosepassノズパス,Nosepass,50,299,45,90,30,97.0,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,5120
"['Rock Head', 'Sheer Force']",1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,75,<70,300,45.0,Rock Head Pokémon,60,>=1.25M,0.6,45,Tatsubayタツベイ,Bagon,50,371,40,30,50,42.1,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,>=7680
"['Pickup', 'Cheek Pouch', 'Huge Power']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36,>=70,237,255.0,Digging Pokémon,38,1M-1.25M,0.4,38,Horubeeホルビー,Bunnelby,50,659,32,36,57,5.0,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,<=3840
"['Sap Sipper', 'Hydration', 'Gooey']",1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,50,<70,300,45.0,Soft Tissue Pokémon,35,>=1.25M,0.3,45,Numeraヌメラ,Goomy,50,704,55,75,40,2.8,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,>=7680
['Levitate'],0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,65,>=70,340,190.0,Poison Gas Pokémon,95,1M-1.25M,0.6,40,Dogarsドガース,Koffing,50,109,60,45,35,1.0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,5120
"['Guts', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,64,<70,300,45.0,Rock Skin Pokémon,50,>=1.25M,0.6,50,Yogirasヨーギラス,Larvitar,50,246,45,50,41,72.0,2,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,>=7680
"['Shield Dust', 'Run Away']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,30,>=70,195,255.0,Worm Pokémon,35,1M-1.25M,0.3,45,Caterpieキャタピー,Caterpie,50,10,20,20,45,2.9,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,<=3840
"['Keen Eye', 'Stall', 'Prankster']",1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,85,<70,480,45.0,Darkness Pokémon,125,1M-1.25M,0.5,50,Yamiramiヤミラミ,Sableye,50,302,85,115,20,11.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,6400
"['Hydration', 'Shell Armor', 'Overcoat']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,40,>=70,305,200.0,Snail Pokémon,85,1M-1.25M,0.4,50,Chobomakiチョボマキ,Shelmet,50,616,40,65,25,7.7,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,<=3840
"['Limber', 'Unburden', 'Mold Breaker']",0.25,0.5,1.0,2.0,2.0,0.5,1.0,2.0,1.0,0.5,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,92,>=70,500,100.0,Wrestling Pokémon,75,1M-1.25M,0.8,78,Luchabullルチャブル,Hawlucha,50,701,74,63,118,21.5,6,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,5120
['No Guard'],0.25,2.0,0.5,1.0,0.5,0.0,2.0,0.5,2.0,0.5,2.0,0.5,0.0,0.0,0.5,0.5,0.5,1.0,80,>=70,325,180.0,Sword Pokémon,100,1M-1.25M,0.8,45,Hitotsukiヒトツキ,Honedge,50,679,35,37,28,2.0,6,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,5120
