,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,EvoChain,can_hatch,percentage_male,pokedex_number,sp_attack,sp_defense,speed,weight_kg,generation,is_legendary,is_fire_type,is_water_type,is_grass_type,is_electric_type,is_ground_type,is_bug_type,is_normal_type,is_ice_type,is_flying_type,is_poison_type,is_fighting_type,is_rock_type,is_steel_type,is_fairy_type,is_dark_type,is_ghost_type,is_dragon_type,is_psychic_type,pure_type
18,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,3840,70,253,255,Mouse Pokémon,35,1000000,0.3,30,Korattaコラッタ,Rattata,7,True,50.0,19,25,35,72,3.5,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
19,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71,3840,70,413,127,Mouse Pokémon,70,1000000,0.7,75,Rattaラッタ,Raticate,7,False,50.0,20,40,80,77,18.5,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
20,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,262,255,Tiny Bird Pokémon,30,1000000,0.3,40,Onisuzumeオニスズメ,Spearow,8,True,50.0,21,31,31,70,2,1,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
21,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,3840,70,442,90,Beak Pokémon,65,1000000,1.2,65,Onidrillオニドリル,Fearow,8,False,50.0,22,61,61,100,38,1,0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
22,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60,5120,70,288,255,Snake Pokémon,44,1000000,2,35,Arboアーボ,Ekans,9,True,50.0,23,40,54,55,6.9,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
23,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,95,5120,70,448,90,Cobra Pokémon,69,1000000,3.5,60,Arbokアーボック,Arbok,9,False,50.0,24,65,79,80,65,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
24,"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,2560,70,320,190,Mouse Pokémon,40,1000000,0.4,35,Pikachuピカチュウ,Pikachu,10,False,50.0,25,50,50,90,6,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
25,"['Static', 'Lightningrod', 'Surge Surfer']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,2560,70,485,75,Mouse Pokémon,50,1000000,0.8,60,Raichuライチュウ,Raichu,10,False,50.0,26,95,85,110,30,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75,5120,70,300,255,Mouse Pokémon,90,1000000,0.6,50,Sandサンド,Sandshrew,11,True,50.0,27,10,35,40,12,1,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
27,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,450,90,Mouse Pokémon,120,1000000,1,75,Sandpanサンドパン,Sandslash,11,False,50.0,28,25,65,65,29.5,1,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
28,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47,5120,70,275,235,Poison Pin Pokémon,52,1059860,0.4,55,Nidoran?ニドラン♀,Nidoran♀,12,True,0.0,29,40,40,41,7,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
29,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62,5120,70,365,120,Poison Pin Pokémon,67,1059860,0.8,70,Nidorinaニドリーナ,Nidorina,12,False,0.0,30,55,55,56,20,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
30,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92,5120,70,505,45,Drill Pokémon,87,1059860,1.3,90,Nidoqueenニドクイン,Nidoqueen,12,False,0.0,31,75,85,76,60,1,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
31,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57,5120,70,273,235,Poison Pin Pokémon,40,1059860,0.5,46,Nidoran?ニドラン♂,Nidoran♂,13,True,100.0,32,40,40,50,9,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
32,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72,5120,70,365,120,Poison Pin Pokémon,57,1059860,0.9,61,Nidorinoニドリーノ,Nidorino,13,False,100.0,33,55,55,65,19.5,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
33,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102,5120,70,505,45,Drill Pokémon,77,1059860,1.4,81,Nidokingニドキング,Nidoking,13,False,100.0,34,85,75,85,62,1,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
34,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,140,323,150,Fairy Pokémon,48,800000,0.6,70,Pippiピッピ,Clefairy,14,False,24.6,35,60,65,35,7.5,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
35,"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,140,483,25,Fairy Pokémon,73,800000,1.3,95,Pixyピクシー,Clefable,14,False,24.6,36,95,90,60,40,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
36,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41,5120,70,299,190,Fox Pokémon,40,1000000,0.6,38,Rokonロコン,Vulpix,15,True,24.6,37,50,65,65,9.9,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
37,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67,5120,70,505,75,Fox Pokémon,75,1000000,1.1,73,Kyukonキュウコン,Ninetales,15,False,24.6,38,81,100,109,19.9,1,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
38,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,70,270,170,Balloon Pokémon,20,800000,0.5,115,Purinプリン,Jigglypuff,16,False,24.6,39,45,25,20,5.5,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
39,"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,70,435,50,Balloon Pokémon,45,800000,1,140,Pukurinプクリン,Wigglytuff,16,False,24.6,40,85,50,45,12,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
40,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,45,3840,70,245,255,Bat Pokémon,35,1000000,0.8,40,Zubatズバット,Zubat,17,True,50.0,41,30,40,55,7.5,1,0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
41,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,80,3840,70,455,90,Bat Pokémon,70,1000000,1.6,75,Golbatゴルバット,Golbat,17,False,50.0,42,65,75,90,55,1,0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
42,"['Chlorophyll', 'Run Away']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,50,5120,70,320,255,Weed Pokémon,55,1059860,0.5,45,Nazonokusaナゾノクサ,Oddish,18,True,50.0,43,75,65,30,5.4,1,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
43,"['Chlorophyll', 'Stench']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,65,5120,70,395,120,Weed Pokémon,70,1059860,0.8,60,Kusaihanaクサイハナ,Gloom,18,False,50.0,44,85,75,40,8.6,1,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
44,"['Chlorophyll', 'Effect Spore']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80,5120,70,490,45,Flower Pokémon,85,1059860,1.2,75,Ruffresiaラフレシア,Vileplume,18,False,50.0,45,110,90,50,18.6,1,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
45,"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70,5120,70,285,190,Mushroom Pokémon,55,1000000,0.3,35,Parasパラス,Paras,19,True,50.0,46,45,55,25,5.4,1,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
46,"['Effect Spore', 'Dry Skin', 'Damp']",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,95,5120,70,405,75,Mushroom Pokémon,80,1000000,1,60,Parasectパラセクト,Parasect,19,False,50.0,47,60,80,30,29.5,1,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
47,"['Compoundeyes', 'Tinted Lens', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,55,5120,70,305,190,Insect Pokémon,50,1000000,1,60,Kongpangコンパン,Venonat,20,True,50.0,48,40,55,45,30,1,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
48,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,65,5120,70,450,75,Poison Moth Pokémon,60,1000000,1.5,70,Morphonモルフォン,Venomoth,20,False,50.0,49,90,75,90,12.5,1,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
49,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,55,5120,70,265,255,Mole Pokémon,30,1000000,0.2,10,Digdaディグダ,Diglett,21,True,50.0,50,35,45,90,0.8,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,425,50,Mole Pokémon,60,1000000,0.7,35,Dugtrioダグトリオ,Dugtrio,21,False,50.0,51,50,70,110,33.3,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,5120,70,290,255,Scratch Cat Pokémon,35,1000000,0.4,40,Nyarthニャース,Meowth,22,True,50.0,52,50,40,90,4.2,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
52,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,5120,70,440,90,Classy Cat Pokémon,60,1000000,1,65,Persianペルシアン,Persian,22,False,50.0,53,75,65,115,32,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
53,"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,52,5120,70,320,190,Duck Pokémon,48,1000000,0.8,50,Koduckコダック,Psyduck,23,True,50.0,54,65,50,55,19.6,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
54,"['Damp', 'Cloud Nine', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,82,5120,70,500,75,Duck Pokémon,78,1000000,1.7,80,Golduckゴルダック,Golduck,23,False,50.0,55,95,80,85,76.6,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
55,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,70,305,190,Pig Monkey Pokémon,35,1000000,0.5,40,Mankeyマンキー,Mankey,24,True,50.0,56,35,45,70,28,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
56,"['Vital Spirit', 'Anger Point', 'Defiant']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,5120,70,455,75,Pig Monkey Pokémon,60,1000000,1,65,Okorizaruオコリザル,Primeape,24,False,50.0,57,60,70,95,32,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
57,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,70,5120,70,350,190,Puppy Pokémon,45,1250000,0.7,55,Gardieガーディ,Growlithe,25,True,75.4,58,70,50,60,19,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
58,"['Intimidate', 'Flash Fire', 'Justified']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,110,5120,70,555,75,Legendary Pokémon,80,1250000,1.9,90,Windieウインディ,Arcanine,25,False,75.4,59,100,80,95,155,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
59,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,50,5120,70,300,255,Tadpole Pokémon,40,1059860,0.6,40,Nyoromoニョロモ,Poliwag,26,True,50.0,60,40,40,90,12.4,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
60,"['Water Absorb', 'Damp', 'Swift Swim']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,385,120,Tadpole Pokémon,65,1059860,1,65,Nyorozoニョロゾ,Poliwhirl,26,False,50.0,61,50,50,90,20,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
61,"['Water Absorb', 'Damp', 'Swift Swim']",0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,95,5120,70,510,45,Tadpole Pokémon,95,1059860,1.3,90,Nyorobonニョロボン,Poliwrath,26,False,50.0,62,70,90,70,54,1,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
62,"['Synchronize', 'Inner Focus', 'Magic Guard']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,20,5120,70,310,200,Psi Pokémon,15,1059860,0.9,25,Caseyケーシィ,Abra,27,True,75.4,63,105,55,90,19.5,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
